"","Gemeinde_f","Gemeinde_d","Gemeinde_i","Kanton_Short","Ja_Stimmen_In_Prozent","Commune","Gemeinde","Comune","Canton","Kanton","Cantone","Pourcentage de non","Nein in %","Percentuale di no"
"1","Seehof","Seehof","Seehof","BE",11.764705882,"Seehof","Seehof","Seehof","BE","BE","BE",88.235294118,88.235294118,88.235294118
"2","Illgau","Illgau","Illgau","SZ",15.414258189,"Illgau","Illgau","Illgau","SZ","SZ","SZ",84.585741811,84.585741811,84.585741811
"3","Wachseldorn","Wachseldorn","Wachseldorn","BE",15.441176471,"Wachseldorn","Wachseldorn","Wachseldorn","BE","BE","BE",84.558823529,84.558823529,84.558823529
"4","Horrenbach-Buchen","Horrenbach-Buchen","Horrenbach-Buchen","BE",18.181818182,"Horrenbach-Buchen","Horrenbach-Buchen","Horrenbach-Buchen","BE","BE","BE",81.818181818,81.818181818,81.818181818
"5","Riemenstalden","Riemenstalden","Riemenstalden","SZ",18.367346939,"Riemenstalden","Riemenstalden","Riemenstalden","SZ","SZ","SZ",81.632653061,81.632653061,81.632653061
"6","La Scheulte","Schelten","Schelten","BE",18.421052632,"La Scheulte","Schelten","Schelten","BE","BE","BE",81.578947368,81.578947368,81.578947368
"7","Unteriberg","Unteriberg","Unteriberg","SZ",18.728870859,"Unteriberg","Unteriberg","Unteriberg","SZ","SZ","SZ",81.271129141,81.271129141,81.271129141
"8","Muotathal","Muotathal","Muotathal","SZ",20.582959641,"Muotathal","Muotathal","Muotathal","SZ","SZ","SZ",79.417040359,79.417040359,79.417040359
"9","Ederswiler","Ederswiler","Ederswiler","JU",23.636363636,"Ederswiler","Ederswiler","Ederswiler","JU","JU","JU",76.363636364,76.363636364,76.363636364
"10","Alpthal","Alpthal","Alpthal","SZ",24.409448819,"Alpthal","Alpthal","Alpthal","SZ","SZ","SZ",75.590551181,75.590551181,75.590551181
"11","Vorderthal","Vorderthal","Vorderthal","SZ",26.824817518,"Vorderthal","Vorderthal","Vorderthal","SZ","SZ","SZ",73.175182482,73.175182482,73.175182482
"12","Steinerberg","Steinerberg","Steinerberg","SZ",27.560521415,"Steinerberg","Steinerberg","Steinerberg","SZ","SZ","SZ",72.439478585,72.439478585,72.439478585
"13","Reisiswil","Reisiswil","Reisiswil","BE",27.956989247,"Reisiswil","Reisiswil","Reisiswil","BE","BE","BE",72.043010753,72.043010753,72.043010753
"14","Hundwil","Hundwil","Hundwil","AR",28.598484848,"Hundwil","Hundwil","Hundwil","AR","AR","AR",71.401515152,71.401515152,71.401515152
"15","Roches (BE)","Roches BE","Roches BE","BE",28.846153846,"Roches (BE)","Roches BE","Roches BE","BE","BE","BE",71.153846154,71.153846154,71.153846154
"16","Hemberg","Hemberg","Hemberg","SG",28.956834532,"Hemberg","Hemberg","Hemberg","SG","SG","SG",71.043165468,71.043165468,71.043165468
"17","Kandergrund","Kandergrund","Kandergrund","BE",30.06993007,"Kandergrund","Kandergrund","Kandergrund","BE","BE","BE",69.93006993,69.93006993,69.93006993
"18","Dozwil","Dozwil","Dozwil","TG",30.113636364,"Dozwil","Dozwil","Dozwil","TG","TG","TG",69.886363636,69.886363636,69.886363636
"19","Lauenen","Lauenen","Lauenen","BE",30.909090909,"Lauenen","Lauenen","Lauenen","BE","BE","BE",69.090909091,69.090909091,69.090909091
"20","Därstetten","Därstetten","Därstetten","BE",30.927835052,"Därstetten","Därstetten","Därstetten","BE","BE","BE",69.072164948,69.072164948,69.072164948
"21","Unterschächen","Unterschächen","Unterschächen","UR",31.468531469,"Unterschächen","Unterschächen","Unterschächen","UR","UR","UR",68.531468531,68.531468531,68.531468531
"22","Schwellbrunn","Schwellbrunn","Schwellbrunn","AR",31.502242152,"Schwellbrunn","Schwellbrunn","Schwellbrunn","AR","AR","AR",68.497757848,68.497757848,68.497757848
"23","Rothenthurm","Rothenthurm","Rothenthurm","SZ",31.755725191,"Rothenthurm","Rothenthurm","Rothenthurm","SZ","SZ","SZ",68.244274809,68.244274809,68.244274809
"24","Homberg","Homberg","Homberg","BE",31.972789116,"Homberg","Homberg","Homberg","BE","BE","BE",68.027210884,68.027210884,68.027210884
"25","Spiringen","Spiringen","Spiringen","UR",32.329317269,"Spiringen","Spiringen","Spiringen","UR","UR","UR",67.670682731,67.670682731,67.670682731
"26","Oberlangenegg","Oberlangenegg","Oberlangenegg","BE",32.472324723,"Oberlangenegg","Oberlangenegg","Oberlangenegg","BE","BE","BE",67.527675277,67.527675277,67.527675277
"27","Beinwil (SO)","Beinwil SO","Beinwil SO","SO",32.716049383,"Beinwil (SO)","Beinwil SO","Beinwil SO","SO","SO","SO",67.283950617,67.283950617,67.283950617
"28","Urnäsch","Urnäsch","Urnäsch","AR",32.736156352,"Urnäsch","Urnäsch","Urnäsch","AR","AR","AR",67.263843648,67.263843648,67.263843648
"29","Schönengrund","Schönengrund","Schönengrund","AR",32.797427653,"Schönengrund","Schönengrund","Schönengrund","AR","AR","AR",67.202572347,67.202572347,67.202572347
"30","Oberwil im Simmental","Oberwil im Simmental","Oberwil im Simmental","BE",32.803180915,"Oberwil im Simmental","Oberwil im Simmental","Oberwil im Simmental","BE","BE","BE",67.196819085,67.196819085,67.196819085
"31","Neckertal","Neckertal","Neckertal","SG",32.810969638,"Neckertal","Neckertal","Neckertal","SG","SG","SG",67.189030362,67.189030362,67.189030362
"32","Sergey","Sergey","Sergey","VD",32.8125,"Sergey","Sergey","Sergey","VD","VD","VD",67.1875,67.1875,67.1875
"33","Rongellen","Rongellen","Rongellen","GR",33.333333333,"Rongellen","Rongellen","Rongellen","GR","GR","GR",66.666666667,66.666666667,66.666666667
"34","Teuffenthal (BE)","Teuffenthal BE","Teuffenthal BE","BE",33.636363636,"Teuffenthal (BE)","Teuffenthal BE","Teuffenthal BE","BE","BE","BE",66.363636364,66.363636364,66.363636364
"35","Rohrbachgraben","Rohrbachgraben","Rohrbachgraben","BE",33.640552995,"Rohrbachgraben","Rohrbachgraben","Rohrbachgraben","BE","BE","BE",66.359447005,66.359447005,66.359447005
"36","Boltigen","Boltigen","Boltigen","BE",33.711048159,"Boltigen","Boltigen","Boltigen","BE","BE","BE",66.288951841,66.288951841,66.288951841
"37","Saint-Etienne","St. Stephan","St. Stephan","BE",34.523809524,"Saint-Etienne","St. Stephan","St. Stephan","BE","BE","BE",65.476190476,65.476190476,65.476190476
"38","Unterlangenegg","Unterlangenegg","Unterlangenegg","BE",34.608985025,"Unterlangenegg","Unterlangenegg","Unterlangenegg","BE","BE","BE",65.391014975,65.391014975,65.391014975
"39","Röthenbach im Emmental","Röthenbach im Emmental","Röthenbach im Emmental","BE",34.687953556,"Röthenbach im Emmental","Röthenbach im Emmental","Röthenbach im Emmental","BE","BE","BE",65.312046444,65.312046444,65.312046444
"40","Beurnevésin","Beurnevésin","Beurnevésin","JU",34.920634921,"Beurnevésin","Beurnevésin","Beurnevésin","JU","JU","JU",65.079365079,65.079365079,65.079365079
"41","Corcelles (BE)","Corcelles BE","Corcelles BE","BE",35,"Corcelles (BE)","Corcelles BE","Corcelles BE","BE","BE","BE",65,65,65
"42","Eisten","Eisten","Eisten","VS",35.185185185,"Eisten","Eisten","Eisten","VS","VS","VS",64.814814815,64.814814815,64.814814815
"43","Mosnang","Mosnang","Mosnang","SG",35.327816677,"Mosnang","Mosnang","Mosnang","SG","SG","SG",64.672183323,64.672183323,64.672183323
"44","Luzein","Luzein","Luzein","GR",35.522066738,"Luzein","Luzein","Luzein","GR","GR","GR",64.477933262,64.477933262,64.477933262
"45","Yens","Yens","Yens","VD",35.66552901,"Yens","Yens","Yens","VD","VD","VD",64.33447099,64.33447099,64.33447099
"46","Eriz","Eriz","Eriz","BE",35.873015873,"Eriz","Eriz","Eriz","BE","BE","BE",64.126984127,64.126984127,64.126984127
"47","Gonten","Gonten","Gonten","AI",36.02739726,"Gonten","Gonten","Gonten","AI","AI","AI",63.97260274,63.97260274,63.97260274
"48","Romoos","Romoos","Romoos","LU",36.438356164,"Romoos","Romoos","Romoos","LU","LU","LU",63.561643836,63.561643836,63.561643836
"49","Diemtigen","Diemtigen","Diemtigen","BE",36.469673406,"Diemtigen","Diemtigen","Diemtigen","BE","BE","BE",63.530326594,63.530326594,63.530326594
"50","Morschach","Morschach","Morschach","SZ",36.486486486,"Morschach","Morschach","Morschach","SZ","SZ","SZ",63.513513514,63.513513514,63.513513514
